Crop,AgroEcological Zone,Additional information,Early Sowing,,Later Sowing,,All year,Sowing rate,,Growing period,,Early harvest,,Late harvest,,AgroEcological Zone Description,AgroEcological Zone Practices,AgroEcological Zone Units,Comments En,Comments ES,Comments FR,Comments ZH,Comments AR,Comments RU
,,,Day,Month,Day,Month,,Value,Unit,Value,Period,Day,Month,Day,Month,,,,,,,,,
"Wheat, bread",Northern Jordan Valley,Irrigated and rainfed,1,11,1,12,no,150-200,kg/ha,180,Days,1,5,30,5,"Rainfall isohytes range within ( 300-450) mm/year , altitude range (-343- 324) m, mean annual range of max. tempreature(30-34) oC,mean annual range of min. tempreature(18-22) oC","Irrigated agriculture: for cereals( crops like maize, barley ) and for legumes (crops like beans), for root and tubber (crops like potato, carrot) in addition to the vegetables (crops like okra, lettuce) at for fruit trees (like guva, palm)",Northern ghor,Irrigated and rainfed,,,,,
"Wheat, bread",Middle Jordan Valley,Irrigated,15,10,15,11,no,100-120,kg/ha,180,Days,1,5,1,6,"Rainfall isohytes range within ( 100-350) mm/year , altitude range(-429- 330) m, mean annual range of max. tempreature(28-32) oC,mean annual range of min. tempreature(18-20) oC","Irrigated agriculture: for cereals( crops like maize ) and for legumes (crops like beans), for root and tubber (crops like potato) in addition to the vegetables (crops like squash, cucumber) for protected one (crops like cucumber) for fruit trees (like orange, lemon)","southern shouneh, Dairalla",Row spacing is 17.5 cm. Irrigated,,,,,
Barley,Northern Jordan Valley,Irrigated and rainfed,1,10,30,10,no,100-120,kg/ha,150-180,Days,15,4,1,5,"Rainfall isohytes range within ( 300-450) mm/year , altitude range (-343- 324) m, mean annual range of max. tempreature(30-34) oC,mean annual range of min. tempreature(18-22) oC","Irrigated agriculture: for cereals( crops like maize, barley ) and for legumes (crops like beans), for root and tubber (crops like potato, carrot) in addition to the vegetables (crops like okra, lettuce) at for fruit trees (like guva, palm)",Northern ghor,Irrigated and rainfed,,,,,
Barley,Middle Jordan Valley,Irrigated,1,10,30,10,no,70-100,kg/ha,180,Days,15,4,1,5,"Rainfall isohytes range within ( 100-350) mm/year , altitude range(-429- 330) m, mean annual range of max. tempreature(28-32) oC,mean annual range of min. tempreature(18-20) oC","Irrigated agriculture: for cereals( crops like maize ) and for legumes (crops like beans), for root and tubber (crops like potato) in addition to the vegetables (crops like squash, cucumber) for protected one (crops like cucumber) for fruit trees (like orange, lemon)","southern shouneh, Dairalla",Irrigated,,,,,
Corn,Northern Jordan Valley,Irrigated,1,6,1,4,no,70-100,kg/ha,90,Days,1,6,1,7,"Rainfall isohytes range within ( 300-450) mm/year , altitude range (-343- 324) m, mean annual range of max. tempreature(30-34) oC,mean annual range of min. tempreature(18-22) oC","Irrigated agriculture: for cereals( crops like maize, barley ) and for legumes (crops like beans), for root and tubber (crops like potato, carrot) in addition to the vegetables (crops like okra, lettuce) at for fruit trees (like guva, palm)",Northern ghor,"Can be used as food, and harvested at green stage. Irrigated",,,,,
Corn,Middle Jordan Valley,Irrigated,1,9,15,1,no,70-100,kg/ha,90,Days,30,11,15,4,"Rainfall isohytes range within ( 100-350) mm/year , altitude range(-429- 330) m, mean annual range of max. tempreature(28-32) oC,mean annual range of min. tempreature(18-20) oC","Irrigated agriculture: for cereals( crops like maize ) and for legumes (crops like beans), for root and tubber (crops like potato) in addition to the vegetables (crops like squash, cucumber) for protected one (crops like cucumber) for fruit trees (like orange, lemon)","southern shouneh, Dairalla",Open field. Irrigated,,,,,
Corn,Middle Jordan Valley,Irrigated,1,3,1,1,no,25,kg/ha,90,Days,20,1,20,6,"Rainfall isohytes range within ( 100-350) mm/year , altitude range(-429- 330) m, mean annual range of max. tempreature(28-32) oC,mean annual range of min. tempreature(18-20) oC","Irrigated agriculture: for cereals( crops like maize ) and for legumes (crops like beans), for root and tubber (crops like potato) in addition to the vegetables (crops like squash, cucumber) for protected one (crops like cucumber) for fruit trees (like orange, lemon)","southern shouneh, Dairalla",Open field. Irrigated,,,,,
"Bean, broad",Northern Jordan Valley,"All types of soil except saline and alkali soil, irrigated, organic fertilizers will be added to the soil before planting, CWR (m3 water/du.) =635-706,",1,9,1,11,no,25,kg/ha,210-240,Days,30,4,30,5,"Rainfall isohytes range within ( 300-450) mm/year , altitude range (-343- 324) m, mean annual range of max. tempreature(30-34) oC,mean annual range of min. tempreature(18-22) oC","Irrigated agriculture: for cereals( crops like maize, barley ) and for legumes (crops like beans), for root and tubber (crops like potato, carrot) in addition to the vegetables (crops like okra, lettuce) at for fruit trees (like guva, palm)",Northern ghor, Organic fertilizers can be added to the soil before planting. Open field. Irrigated. ,,,,,
Bean,Northern Jordan Valley,"irrigated, CWR (m3 water/du.) =178-205,",1,10,15,1,no,50-100,kg/ha,90,Days,30,12,15,4,"Rainfall isohytes range within ( 300-450) mm/year , altitude range (-343- 324) m, mean annual range of max. tempreature(30-34) oC,mean annual range of min. tempreature(18-22) oC","Irrigated agriculture: for cereals( crops like maize, barley ) and for legumes (crops like beans), for root and tubber (crops like potato, carrot) in addition to the vegetables (crops like okra, lettuce) at for fruit trees (like guva, palm)",Northern ghor,Open field. Irrigated,,,,,
"Bean, broad",Middle Jordan Valley,"All type of soil except saline and alkali soil, irrigated, organic fertilizers will be added to the soil before planting, CWR (m3 water/du.) =444,",15,9,15,12,no,50-100 seed,kg/ha,210-240,Days,20,4,15,5,"Rainfall isohytes range within ( 100-350) mm/year , altitude range(-429- 330) m, mean annual range of max. tempreature(28-32) oC,mean annual range of min. tempreature(18-20) oC","Irrigated agriculture: for cereals( crops like maize ) and for legumes (crops like beans), for root and tubber (crops like potato) in addition to the vegetables (crops like squash, cucumber) for protected one (crops like cucumber) for fruit trees (like orange, lemon)","southern shouneh, Dairalla",Organic fertilizers can be added to the soil before planting. Open field. Irrigated,,,,,
Bean,Middle Jordan Valley,"irrigated, CWR (m3 water/du.) =311",15,10,15,12,no,,kg/ha,180-200,Days,30,4,15,5,"Rainfall isohytes range within ( 100-350) mm/year , altitude range(-429- 330) m, mean annual range of max. tempreature(28-32) oC,mean annual range of min. tempreature(18-20) oC","Irrigated agriculture: for cereals( crops like maize ) and for legumes (crops like beans), for root and tubber (crops like potato) in addition to the vegetables (crops like squash, cucumber) for protected one (crops like cucumber) for fruit trees (like orange, lemon)","southern shouneh, Dairalla",Planted under greenhouse conditions. Irrigated,,,,,
